# population 1
0,100
1,110.0
2,121.0
3,133.1
4,146.41
5,161.051
6,177.1561
7,194.87171
8,214.358881
9,235.7947691
10,259.37424601
11,285.311670611
12,313.842837672
13,345.227121439
14,379.749833583
15,417.724816942
16,459.497298636
17,505.447028499
18,480.174677074
19,528.192144782
20,501.782537543
21,476.693410666
22,524.362751732
23,498.144614145
24,547.95907556
25,520.561121782
26,494.533065693
27,543.986372262
28,516.787053649
29,490.947700967
30,540.042471063
31,513.04034751
32,487.388330135
33,536.127163148
34,509.320804991
35,483.854764741
36,532.240241215
37,505.628229155
38,480.346817697
39,528.381499466
40,501.962424493
41,476.864303269
42,524.550733595
43,498.323196916
44,548.155516607
45,520.747740777
46,494.710353738
