# population 2
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,1.8
52,3.24
53,5.832
54,10.4976
55,18.89568
56,34.012224
57,61.2220032
58,110.19960576
59,198.359290368
60,357.046722662
61,321.342050396
62,289.207845357
63,260.287060821
64,234.258354739
65,210.832519265
66,189.749267338
67,170.774340605
68,153.696906544
69,138.32721589
70,124.494494301
71,112.045044871
72,100.840540384
73,90.7564863452
74,81.6808377107
75,73.5127539396
76,66.1614785457
77,59.5453306911
78,53.590797622
79,48.2317178598
80,43.4085460738
81,39.0676914664
82,35.1609223198
83,31.6448300878
84,28.480347079
85,25.6323123711
86,23.069081134
87,20.7621730206
88,18.6859557186
89,16.8173601467
90,15.135624132
91,13.6220617188
92,12.2598555469
93,11.0338699922
94,9.93048299302
95,8.93743469372
96,8.04369122435
97,7.23932210191
98,6.51538989172
99,5.86385090255
